V1,V2
gene805,101697278
gene806,101697645
gene807,110349383
gene808,101697897
gene809,110348417
gene810,110348419
gene811,110348420
gene812,110349384
gene813,110349385
gene814,101698515
gene815,101698766
gene816,101700201
gene817,101699850
gene818,110348444
gene819,101700575
gene820,110348445
gene821,101701742
gene822,101701395
gene823,101702098
gene824,101702927
gene825,110348454
gene826,101703281
gene827,101703628
gene828,101704004
gene829,101710246
gene830,101705056
gene831,106009370
gene832,101705426
gene833,101706050
gene834,101706662
gene835,110349388
gene836,101707027
gene837,101707386
gene838,101711335
gene839,101708685
gene840,101709047
gene841,101709404
gene842,110349392
gene843,101709763
gene844,101710600
gene845,110349397
gene846,101711439
gene847,101711814
gene848,101712071
gene849,101712406
gene850,101713497
gene851,101712410
gene852,101713721
gene853,106009376
gene854,101712772
gene855,101715255
gene856,110349400
gene857,101715613
gene858,101715954
gene859,101716515
gene860,101716867
gene861,101717682
gene862,101718025
gene863,101718360
gene864,101718713
gene865,101719049
gene866,101719864
gene867,101721023
gene868,101722102
gene869,101722455
gene870,101723028
gene871,101724104
gene872,101724347
gene873,101724693
gene874,106009385
gene875,101725823
gene876,101726548
gene877,101726183
gene878,101696771
gene879,101697144
gene880,101714544
gene881,101715261
gene882,110349404
gene883,106007560
gene884,110348565
gene885,101697516
gene886,110348569
gene887,101699015
gene888,110348583
gene889,110348582
gene890,101698126
gene891,101700680
gene892,101700314
gene893,101699730
gene894,110348580
gene895,101701743
gene896,101701999
gene897,101715959
gene898,101716295
gene899,110348589
gene900,106008541
gene901,110348592
gene902,101702571
gene903,110348593
gene904,101702928
gene905,101703283
gene906,101716652
gene907,106008567
gene908,101703630
gene909,101704243
gene910,101705058
gene911,101706663
gene912,101708110
gene913,101707028
gene914,101709881
gene915,101711698
gene916,101712068
gene917,101714073
gene918,101714764
gene919,101714412
gene920,101715381
gene921,101716647
gene922,101716996
gene923,101717780
gene924,110348665
gene925,101717686
gene926,110349405
gene927,110349409
gene928,101718472
gene929,110349410
gene930,101719514
gene931,101720106
gene932,101720457
gene933,101721024
gene934,110347787
gene935,101722339
gene936,101718362
gene937,101722691
gene938,101723991
gene939,106007757
gene940,110348706
gene941,101723270
gene942,110348709
gene943,101722913
gene944,101725065
gene945,106007861
gene946,101726055
gene947,101725696
gene948,110348723
gene949,101698388
gene950,101698013
gene951,101696650
gene952,101698769
gene953,110348730
gene954,101699133
